Oradye	O-r-a-d-y-e
Fania	F-a-n-i-a
Nadya	N-a-d-y-a
belijerans	b-e-l-i-j-e-r-an-s
ladiferans	l-a-d-i-f-e-r-an-s
boustè	b-ou-s-t-è
lapèn	l-a-p-è-n
pèkisyon	p-è-k-i-s-y-on
egziste	e-g-z-i-s-t-e
eskandinav	e-s-k-an-d-i-n-a-v
etwal	e-t-w-a-l
awondisman	a-w-on-d-i-s-m-an
minm	m-i-n-m
vit	v-i-t
malfezans	m-a-l-f-e-z-an-s
bè	b-è
lili	l-i-l-i
inovatè	i-n-o-v-a-t-è
patat	p-a-t-a-t
drèt	d-r-è-t
Lejip	L-e-j-i-p
zepolèt	z-e-p-o-l-è-t
kès	k-è-s
Elyen	E-l-y-en
operasyon	o-p-e-r-a-s-y-on
kranponnen	k-r-an-p-on-n-en
soulamen	s-ou-l-a-m-en
Anous	A-n-ou-s
antye	an-t-y-e
pwofesyonalis	p-w-o-f-e-s-y-o-n-a-l-i-s
atantif	a-t-an-t-i-f
prèv	p-r-è-v
trèv	t-r-è-v
Basmat	B-a-s-m-a-t
avègleman	a-v-è-g-l-e-m-an
rekòlte	r-e-k-ò-l-t-e
presi	p-r-e-s-i
penetre	p-e-n-e-t-r-e
mechan	m-e-ch-an
lakwa	l-a-k-w-a
manèt	m-a-n-è-t
evalyason	e-v-a-l-y-a-s-on
Zili	Z-i-l-i
finansyèman	f-i-n-an-s-y-è-m-an
endividyalite	en-d-i-v-i-d-y-a-l-i-t-e
marabou	m-a-r-a-b-ou
kapitèn	k-a-p-i-t-è-n
Montòganize	M-on-t-ò-g-a-n-i-z-e
inivèsitè	i-n-i-v-è-s-i-t-è
grenye	g-r-e-n-y-e
diskriminasyon	d-i-s-k-r-i-m-i-n-a-s-y-on
larat	l-a-r-a-t
chanpiyon	ch-an-p-i-y-on
Gèchon	G-è-ch-on
fent	f-en-t
Karèn	K-a-r-è-n
rekalsitran	r-e-k-a-l-s-i-t-r-an
kòmòd	k-ò-m-ò-d
demode	d-e-m-o-d-e
rantabilite	r-an-t-a-b-i-l-i-t-e
pyan	p-y-an
kopye	k-o-p-y-e
konsansis	k-on-s-an-s-i-s
matinikè	m-a-t-i-n-i-k-è
Keslè	K-e-s-l-è
pàn	p-à-n
rimòt	r-i-m-ò-t
Twoukanari	T-w-ou-k-a-n-a-r-i
kondane	k-on-d-a-n-e
Karitas	K-a-r-i-t-a-s
sansibilite	s-an-s-i-b-i-l-i-t-e
peni	p-e-n-i
kontrepwa	k-on-t-r-e-p-w-a
meprizab	m-e-p-r-i-z-a-b
enklinasyon	en-k-l-i-n-a-s-y-on
ensistans	en-s-i-s-t-an-s
deglase	d-e-g-l-a-s-e
Toni	T-o-n-i
payas	p-a-y-a-s
detrese	d-e-t-r-e-s-e
relijye	r-e-l-i-j-y-e
ye	y-e
epaye	e-p-a-y-e
leplisouvan	l-e-p-l-i-s-ou-v-an
odepa	o-d-e-p-a
Izayi	I-z-a-y-i
asenzonnen	a-s-en-z-on-n-en
siyen	s-i-y-en
pyebwa	p-y-e-b-w-a
marinad	m-a-r-i-n-a-d
Orèb	O-r-è-b
bòn	b-ò-n
pòtray	p-ò-t-r-a-y
videyograf	v-i-d-e-y-o-g-r-a-f
Fontnèl	F-on-t-n-è-l
kavya	k-a-v-y-a
dekwoche	d-e-k-w-o-ch-e
enstitityon	en-s-t-i-t-i-t-y-on
flèch	f-l-è-ch
pwovokasyon	p-w-o-v-o-k-a-s-y-on
palestinyen	p-a-l-e-s-t-i-n-y-en
Bitovenn	B-i-t-o-v-en-n
simityè	s-i-m-i-t-y-è
konsèvatè	k-on-s-è-v-a-t-è
kabarè	k-a-b-a-r-è
karimi	k-a-r-i-m-i
tilandeng	t-i-l-an-d-en-g
repòtaj	r-e-p-ò-t-a-j
seyans	s-e-y-an-s
jigolo	j-i-g-o-l-o
patwonal	p-a-t-w-o-n-a-l
enkyetid	en-k-y-e-t-i-d
fwaye	f-w-a-y-e
sikologik	s-i-k-o-l-o-g-i-k
selèb	s-e-l-è-b
egzòte	e-g-z-ò-t-e
dokinan	d-o-k-i-n-an
ava	a-v-a
kontrent	k-on-t-r-en-t
panzouyis	p-an-z-ou-y-i-s
Delat	D-e-l-a-t
sipènatirèl	s-i-p-è-n-a-t-i-r-è-l
agrandisman	a-g-r-an-d-i-s-m-an
asowosi	a-s-o-w-o-s-i
labèlte	l-a-b-è-l-t-e
lenche	l-en-ch-e
kajole	k-a-j-o-l-e
sasinay	s-a-s-i-n-a-y
joumou	j-ou-m-ou
Izmayèl	I-z-m-a-y-è-l
nons	n-on-s
rebelyon	r-e-b-e-l-y-on
chante	ch-an-t-e
Ponlestè	P-on-l-e-s-t-è
iltim	i-l-t-i-m
ekolojik	e-k-o-l-o-j-i-k
jekwazandye	j-e-k-w-a-z-an-d-y-e
dekristalize	d-e-k-r-i-s-t-a-l-i-z-e
parèt	p-a-r-è-t
forestyè	f-o-r-e-s-t-y-è
entèvanson	en-t-è-v-an-s-on
il	i-l
frennen	f-r-en-n-en
larelijyon	l-a-r-e-l-i-j-y-on
manmay	m-an-m-a-y
opere	o-p-e-r-e
remouri	r-e-m-ou-r-i
titè	t-i-t-è
lòbèy	l-ò-b-è-y
Pèleren	P-è-l-e-r-en
dinamize	d-i-n-a-m-i-z-e
dekonseye	d-e-k-on-s-e-y-e
ogranjou	o-g-r-an-j-ou
aberasyon	a-b-e-r-a-s-y-on
medikaman	m-e-d-i-k-a-m-an
dizè	d-i-z-è
ensipòtab	en-s-i-p-ò-t-a-b
vent	v-en-t
kòmand	k-ò-m-an-d
Payan	P-a-y-an
mirwa	m-i-r-w-a
palisad	p-a-l-i-s-a-d
Madyan	M-a-d-y-an
grad	g-r-a-d
laji	l-a-j-i
ekran	e-k-r-an
debou	d-e-b-ou
chite	ch-i-t-e
chare	ch-a-r-e
kouwòn	k-ou-w-ò-n
imedya	i-m-e-d-y-a
rapyetè	r-a-p-y-e-t-è
rayaksyon	r-a-y-a-k-s-y-on
anmède	an-m-è-d-e
siwomyèl	s-i-w-o-m-y-è-l
nasyonalite	n-a-s-y-o-n-a-l-i-t-e
Jefte	J-e-f-t-e
kalitatif	k-a-l-i-t-a-t-i-f
relache	r-e-l-a-ch-e
bòde	b-ò-d-e
prevyen	p-r-e-v-y-en
konsa	k-on-s-a
defwa	d-e-f-w-a
konfimasyon	k-on-f-i-m-a-s-y-on
chape	ch-a-p-e
laraj	l-a-r-a-j
kolboso	k-o-l-b-o-s-o
Blatè	B-l-a-t-è
kafeyin	k-a-f-e-y-i-n
tipa	t-i-p-a
kiltiral	k-i-l-t-i-r-a-l
repante	r-e-p-an-t-e
naso	n-a-s-o
endiye	en-d-i-y-e
noblès	n-o-b-l-è-s
demolisyon	d-e-m-o-l-i-s-y-on
veyatif	v-e-y-a-t-i-f
answit	an-s-w-i-t
adapte	a-d-a-p-t-e
katrevenkenzan	k-a-t-r-e-v-en-k-en-z-an
konkonm	k-on-k-on-m
lemal	l-e-m-a-l
kòdonatè	k-ò-d-o-n-a-t-è
choublak	ch-ou-b-l-a-k
envestigasyon	en-v-e-s-t-i-g-a-s-y-on
kondominyòm	k-on-d-o-m-i-n-y-ò-m
Ozana	O-z-a-n-a
tetanòs	t-e-t-a-n-ò-s
sòsyè	s-ò-s-y-è
fiks	f-i-k-s
lokatè	l-o-k-a-t-è
byen	b-y-en
anboulatcha	an-b-ou-l-a-t-ch-a
mistè	m-i-s-t-è
absòbe	a-b-s-ò-b-e
alfabè	a-l-f-a-b-è
ireskonsablite	i-r-e-s-k-on-s-a-b-l-i-t-e
akwoupi	a-k-w-ou-p-i
Migwèl	M-i-g-w-è-l
jiskou	j-i-s-k-ou
amerikèn	a-m-e-r-i-k-è-n
kontèks	k-on-t-è-k-s
Lasalin	L-a-s-a-l-i-n
metwopolitèn	m-e-t-w-o-p-o-l-i-t-è-n
Janin	J-a-n-i-n
matyavèl	m-a-t-y-a-v-è-l
medyòk	m-e-d-y-ò-k
Rafayèl	R-a-f-a-y-è-l
anbrase	an-b-r-a-s-e
elijib	e-l-i-j-i-b
Kanada	K-a-n-a-d-a
Andrès	An-d-r-è-s
fouchèt	f-ou-ch-è-t
debouse	d-e-b-ou-s-e
negativite	n-e-g-a-t-i-v-i-t-e
revelasyon	r-e-v-e-l-a-s-y-on
dezajiste	d-e-z-a-j-i-s-t-e
imajri	i-m-a-j-r-i
swetab	s-w-e-t-a-b
djakouzi	d-j-a-k-ou-z-i
pwokreye	p-w-o-k-r-e-y-e
nasyonalis	n-a-s-y-o-n-a-l-i-s
dekourajan	d-e-k-ou-r-a-j-an
kòdonye	k-ò-d-o-n-y-e
tenten	t-en-t-en
Meteye	M-e-t-e-y-e
silabè	s-i-l-a-b-è
Matanya	M-a-t-a-n-y-a
divize	d-i-v-i-z-e
Brazilya	B-r-a-z-i-l-y-a
envèseman	en-v-è-s-e-m-an
byolojik	b-y-o-l-o-j-i-k
Siyis	S-i-y-i-s
ekspresyon	e-k-s-p-r-e-s-y-on
zane	z-a-n-e
fèman	f-è-m-an
dekwoke	d-e-k-w-o-k-e
Antonen	An-t-o-n-en
bayay	b-a-y-a-y
Kozepèp	K-o-z-e-p-è-p
espetak	e-s-p-e-t-a-k
fètdèpè	f-è-t-d-è-p-è
poutan	p-ou-t-an
sentaks	s-en-t-a-k-s
ennyèm	en-n-y-è-m
makèt	m-a-k-è-t
satisfè	s-a-t-i-s-f-è
lalwa	l-a-l-w-a
manbo	m-an-b-o
oz	o-z
pre	p-r-e
vèsyon	v-è-s-y-on
abitray	a-b-i-t-r-a-y
van	v-an
Amalèk	A-m-a-l-è-k
Galèt	G-a-l-è-t
distans	d-i-s-t-an-s
patnè	p-a-t-n-è
ipoteke	i-p-o-t-e-k-e
Jonasen	J-o-n-a-s-en
kirye	k-i-r-y-e
Sodòm	S-o-d-ò-m
malèt	m-a-l-è-t
Blondèl	B-l-on-d-è-l
pyès	p-y-è-s
disk	d-i-s-k
kad	k-a-d
wouch	w-ou-ch
soumisyon	s-ou-m-i-s-y-on
jedi	j-e-d-i
jant	j-an-t
branch	b-r-an-ch
Twoudinò	T-w-ou-d-i-n-ò
Kalo	K-a-l-o
etandi	e-t-an-d-i
rabati	r-a-b-a-t-i
frize	f-r-i-z-e
silèks	s-i-l-è-k-s
mèsi	m-è-s-i
bwatchèn	b-w-a-t-ch-è-n
kwoke	k-w-o-k-e
pouli	p-ou-l-i
vonlontè	v-on-l-on-t-è
somèy	s-o-m-è-y
krabouye	k-r-a-b-ou-y-e
Bouvye	B-ou-v-y-e
rankin	r-an-k-i-n
lanati	l-a-n-a-t-i
grennsenk	g-r-en-n-s-en-k
nanmera	n-an-m-e-r-a
kalvè	k-a-l-v-è
Verela	V-e-r-e-l-a
manba	m-an-b-a
pami	p-a-m-i
pozitiv	p-o-z-i-t-i-v
gede	g-e-d-e
ganach	g-a-n-a-ch
animasyon	a-n-i-m-a-s-y-on
investi	in-v-e-s-t-i
achipèl	a-ch-i-p-è-l
souplès	s-ou-p-l-è-s
anfonsman	an-f-on-s-m-an
debyen	d-e-b-y-en
amòse	a-m-ò-s-e
potè	p-o-t-è
konsakre	k-on-s-a-k-r-e
apreyande	a-p-r-e-y-an-d-e
Abakik	A-b-a-k-i-k
nwayo	n-w-a-y-o
ankenn	an-k-en-n
kalm	k-a-l-m
mantal	m-an-t-a-l
krann	k-r-an-n
sen	s-en
kategorizasyon	k-a-t-e-g-o-r-i-z-a-s-y-on
wòm	w-ò-m
amwenke	a-m-w-en-k-e
jènjan	j-è-n-j-an
entèresant	en-t-è-r-e-s-an-t
grèv	g-r-è-v
pouswit	p-ou-s-w-i-t
jiyè	j-i-y-è
ministè	m-i-n-i-s-t-è
kapab	k-a-p-a-b
sètènnan	s-è-t-èn-n-an
familyal	f-a-m-i-l-y-a-l
mayo	m-a-y-o
mekanisyen	m-e-k-a-n-i-s-y-en
me	m-e
patisipan	p-a-t-i-s-i-p-an
siperiyè	s-i-p-e-r-i-y-è
devlope	d-e-v-l-o-p-e
kilòt	k-i-l-ò-t
regrè	r-e-g-r-è
arawout	a-r-a-w-ou-t
konsyan	k-on-s-y-an
samaritèn	s-a-m-a-r-i-t-è-n
akimile	a-k-i-m-i-l-e
fente	f-en-t-e
bòy	b-ò-y
woutyè	w-ou-t-y-è
malere	m-a-l-e-r-e
kowalisyon	k-o-w-a-l-i-s-y-on
demokratizasyon	d-e-m-o-k-r-a-t-i-z-a-s-y-on
kremas	k-r-e-m-a-s
mikis	m-i-k-i-s
ekstrè	e-k-s-t-r-è
konbine	k-on-b-i-n-e
klinèks	k-l-i-n-è-k-s
lota	l-o-t-a
kong	k-on-g
gwonde	g-w-on-d-e
konsyantize	k-on-s-y-an-t-i-z-e
sanwont	s-an-w-on-t
Nòvejyen	N-ò-v-e-j-y-en
irevèsib	i-r-e-v-è-s-i-b
kontrenn	k-on-t-r-en-n
rezoub	r-e-z-ou-b
Abimelèk	A-b-i-m-e-l-è-k
gonavyen	g-o-n-a-v-y-en
kouraman	k-ou-r-a-m-an
berejèn	b-e-r-e-j-è-n
kolaboratif	k-o-l-a-b-o-r-a-t-i-f
kaptèn	k-a-p-t-è-n
bali	b-a-l-i
sinis	s-i-n-i-s
oslè	o-s-l-è
moderatè	m-o-d-e-r-a-t-è
kòkraz	k-ò-k-r-a-z
Yuityèm	Yu-i-t-y-è-m
kontraksyon	k-on-t-r-a-k-s-y-on
kontraktè	k-on-t-r-a-k-t-è
andokrinyen	an-d-o-k-r-i-n-y-en
faya	f-a-y-a
pikan	p-i-k-an
lizay	l-i-z-a-y
demisyonè	d-e-m-i-s-y-o-n-è
pasan	p-a-s-an
Misty	M-i-s-t-y
lektè	l-e-k-t-è
penisilin	p-e-n-i-s-i-l-i-n
graj	g-r-a-j
nwè	n-w-è
distribitif	d-i-s-t-r-i-b-i-t-i-f
miltipliye	m-i-l-t-i-p-l-i-y-e
repeple	r-e-p-e-p-l-e
friste	f-r-i-s-t-e
enkanasyon	en-k-a-n-a-s-y-on
blanchi	b-l-an-ch-i
anvè	an-v-è
chèche	ch-è-ch-e
rantre	r-an-t-r-e
prive	p-r-i-v-e
kola	k-o-l-a
Mamon	M-a-m-on
chajè	ch-a-j-è
zwazo	z-w-a-z-o
donte	d-on-t-e
endezirab	en-d-e-z-i-r-a-b
marijann	m-a-r-i-j-an-n
twazyèm	t-w-a-z-y-è-m
fonksyonalite	f-on-k-s-y-o-n-a-l-i-t-e
kouwè	k-ou-w-è
asanblay	a-s-an-b-l-a-y
touman	t-ou-m-an
pedale	p-e-d-a-l-e
karikati	k-a-r-i-k-a-t-i
reyalize	r-e-y-a-l-i-z-e
kraponnaj	k-r-a-p-on-n-a-j
fragmantasyon	f-r-a-g-m-an-t-a-s-y-on
kondiktè	k-on-d-i-k-t-è
nètete	n-è-t-e-t-e
vote	v-o-t-e
tenn	t-en-n
chifon	ch-i-f-on
odyovizyèl	o-d-y-o-v-i-z-y-è-l
rekonèt	r-e-k-o-n-è-t
okasyon	o-k-a-s-y-on
retrase	r-e-t-r-a-s-e
akonpayen	a-k-on-p-a-y-en
gonfle	g-on-f-l-e
kaptire	k-a-p-t-i-r-e
modèl	m-o-d-è-l
asosiyasyon	a-s-o-s-i-y-a-s-y-on
sizan	s-i-z-an
marine	m-a-r-i-n-e
lemidi	l-e-m-i-d-i
rektora	r-e-k-t-o-r-a
Wòmen	W-ò-m-en
deboulonay	d-e-b-ou-l-o-n-a-y
Klebè	K-l-e-b-è
kripya	k-r-i-p-y-a
senn	s-en-n
plizanpli	p-l-i-z-an-p-l-i
lesivè	l-e-s-i-v-è
Anemiz	A-n-e-m-i-z
parafraz	p-a-r-a-f-r-a-z
Ichbochèt	I-ch-b-o-ch-è-t
tòchon	t-ò-ch-on
òkèt	ò-k-è-t
ikonpri	i-k-on-p-r-i
Valyè	V-a-l-y-è
fon	f-on
byenantandi	b-y-e-n-an-t-an-d-i
eksepsyonèl	e-k-s-e-p-s-y-o-n-è-l
demantibilè	d-e-m-an-t-i-b-i-l-è
Boukasen	B-ou-k-a-s-en
lepè	l-e-p-è
etimoloji	e-t-i-m-o-l-o-j-i
filyal	f-i-l-y-a-l
patriyotikman	p-a-t-r-i-y-o-t-i-k-m-an
balonnen	b-a-l-on-n-en
rèn	r-è-n
lesklavay	l-e-s-k-l-a-v-a-y
daktilograf	d-a-k-t-i-l-o-g-r-a-f
derefize	d-e-r-e-f-i-z-e
alèz	a-l-è-z
senptòm	s-en-p-t-ò-m
endèks	en-d-è-k-s
Vilbè	V-i-l-b-è
entèvni	en-t-è-v-n-i
alkòl	a-l-k-ò-l
santenè	s-an-t-e-n-è
ilo	i-l-o
latanyen	l-a-t-a-n-y-en
pon	p-on
konstatasyon	k-on-s-t-a-t-a-s-y-on
reprezantan	r-e-p-r-e-z-an-t-an
gangstè	g-an-g-s-t-è
nouvote	n-ou-v-o-t-e
sonde	s-on-d-e
lòtbòdlo	l-ò-t-b-ò-d-l-o
Ève	È-v-e
sikolojikman	s-i-k-o-l-o-j-i-k-m-an
bèlsè	b-è-l-s-è
denonbreman	d-e-n-on-b-r-e-m-an
solisyone	s-o-l-i-s-y-o-n-e
sandouz	s-an-d-ou-z
vijilans	v-i-j-i-l-an-s
konmpitè	k-on-m-p-i-t-è
militèz	m-i-l-i-t-è-z
mòtye	m-ò-t-y-e
militan	m-i-l-i-t-an
apwobasyon	a-p-w-o-b-a-s-y-on
konpatib	k-on-p-a-t-i-b
kannari	k-an-n-a-r-i
Tanzani	T-an-z-a-n-i
Lavo	L-a-v-o
sosyoekonomik	s-o-s-y-o-e-k-o-n-o-m-i-k
Lorisa	L-o-r-i-s-a
alize	a-l-i-z-e
endependans	en-d-e-p-en-d-an-s
fatra	f-a-t-r-a
mètdam	m-è-t-d-a-m
konpilasyon	k-on-p-i-l-a-s-y-on
koumande	k-ou-m-an-d-e
sakpay	s-a-k-p-a-y
woulo	w-ou-l-o
terapi	t-e-r-a-p-i
eklezyastik	e-k-l-e-z-y-a-s-t-i-k
vyèj	v-y-è-j
sizle	s-i-z-l-e
divage	d-i-v-a-g-e
memwa	m-e-m-w-a
tranble	t-r-an-b-l-e
espre	e-s-p-r-e
obsèn	o-b-s-è-n
misyonè	m-i-s-y-o-n-è
Grangwav	G-r-an-g-w-a-v
absoud	a-b-s-ou-d
lib	l-i-b
Gayetan	G-a-y-e-t-an
ladim	l-a-d-i-m
tèlman	t-è-l-m-an
abstrè	a-b-s-t-r-è
kontakte	k-on-t-a-k-t-e
adokinaj	a-d-o-k-i-n-a-j
Daka	D-a-k-a
Pyèjil	P-y-è-j-i-l
enspekte	en-s-p-e-k-t-e
defibrilatè	d-e-f-i-b-r-i-l-a-t-è
alimantè	a-l-i-m-an-t-è
agiman	a-g-i-m-an
konfwontasyon	k-on-f-w-on-t-a-s-y-on
Demostèn	D-e-m-o-s-t-è-n
amèn	a-m-è-n
preliminè	p-r-e-l-i-m-i-n-è
bouchi	b-ou-ch-i
sèvyab	s-è-v-y-a-b
dizèl	d-i-z-è-l
piramid	p-i-r-a-m-i-d
diskredite	d-i-s-k-r-e-d-i-t-e
aticho	a-t-i-ch-o
fri	f-r-i
senyè	s-e-n-y-è
taylandè	t-a-y-l-an-d-è
odisyon	o-d-i-s-y-on
bwonz	b-w-on-z
evènnman	e-v-èn-n-m-an
kiryezman	k-i-r-y-e-z-m-an
feyaj	f-e-y-a-j
Natanayèl	N-a-t-a-n-a-y-è-l
kanal	k-a-n-a-l
dantifris	d-an-t-i-f-r-i-s
sitwèb	s-i-t-w-è-b
vanse	v-an-s-e
endesi	en-d-e-s-i
pipo	p-i-p-o
byolojis	b-y-o-l-o-j-i-s
regleman	r-e-g-l-e-m-an
kontribye	k-on-t-r-i-b-y-e
amou	a-m-ou
lirik	l-i-r-i-k
familyarize	f-a-m-i-l-y-a-r-i-z-e
youn	y-ou-n
revè	r-e-v-è
entèfas	en-t-è-f-a-s
padsi	p-a-d-s-i
adezif	a-d-e-z-i-f
santrant	s-an-t-r-an-t
jwenti	j-w-en-t-i
eskane	e-s-k-a-n-e
syans	s-y-an-s
òtograf	ò-t-o-g-r-a-f
Kristin	K-r-i-s-t-i-n
depliyan	d-e-p-l-i-y-an
Vanèl	V-a-n-è-l
sendwòm	s-en-d-w-ò-m
tal	t-a-l
avòte	a-v-ò-t-e
salitasyon	s-a-l-i-t-a-s-y-on
defòme	d-e-f-ò-m-e
rann	r-an-n
ofisyèlman	o-f-i-s-y-è-l-m-an
eskout	e-s-k-ou-t
konsyantizasyon	k-on-s-y-an-t-i-z-a-s-y-on
bab	b-a-b
estreman	e-s-t-r-e-m-an
baze	b-a-z-e
Siksto	S-i-k-s-t-o
Jòjèt	J-ò-j-è-t
meksikèn	m-e-k-s-i-k-è-n
ansòsele	an-s-ò-s-e-l-e
anraje	an-r-a-j-e
kamoufle	k-a-m-ou-f-l-e
gonflab	g-on-f-l-a-b
devalyasyon	d-e-v-a-l-y-a-s-y-on
grandè	g-r-an-d-è
Loran	L-o-r-an
kontini	k-on-t-i-n-i
Meriba	M-e-r-i-b-a
bonb	b-on-b
mouch	m-ou-ch
prekosyon	p-r-e-k-o-s-y-on
Jakoben	J-a-k-o-b-en
sirèn	s-i-r-è-n
vitamin	v-i-t-a-m-i-n
vyolon	v-y-o-l-on
cheni	ch-e-n-i
osito	o-s-i-t-o
lalin	l-a-l-i-n
koukou	k-ou-k-ou
Kòtdefè	K-ò-t-d-e-f-è
entèvansyonis	en-t-è-v-an-s-y-o-n-i-s
asamble	a-s-a-m-b-l-e
negosyasyon	n-e-g-o-s-y-a-s-y-on
rèy	r-è-y
otòn	o-t-ò-n
rasire	r-a-s-i-r-e
anbake	an-b-a-k-e
klake	k-l-a-k-e
dantisyon	d-an-t-i-s-y-on
biyomedikal	b-i-y-o-m-e-d-i-k-a-l
Franki	F-r-an-k-i
konseye	k-on-s-e-y-e
ise	i-s-e
kalbende	k-a-l-b-en-d-e
depasaj	d-e-p-a-s-a-j
choute	ch-ou-t-e
zenn	z-en-n
olye	o-l-y-e
woma	w-o-m-a
detekte	d-e-t-e-k-t-e
idantifye	i-d-an-t-i-f-y-e
vedèt	v-e-d-è-t
sitiyasyon	s-i-t-i-y-a-s-y-on
entèfere	en-t-è-f-e-r-e
zòtolan	z-ò-t-o-l-an
soukaj	s-ou-k-a-j
founda	f-ou-n-d-a
Ebè	E-b-è
abone	a-b-o-n-e
faktirasyon	f-a-k-t-i-r-a-s-y-on
tenbre	t-en-b-r-e
klise	k-l-i-s-e
litoral	l-i-t-o-r-a-l
Pras	P-r-a-s
katezyen	k-a-t-e-z-y-en
graje	g-r-a-j-e
konpatibilite	k-on-p-a-t-i-b-i-l-i-t-e
fant	f-an-t
egri	e-g-r-i
karès	k-a-r-è-s
espedye	e-s-p-e-d-y-e
konsèvatwa	k-on-s-è-v-a-t-w-a
separeman	s-e-p-a-r-e-m-an
pwalon	p-w-a-l-on
flach	f-l-a-ch
depans	d-e-p-an-s
Rivyefwad	R-i-v-y-e-f-w-a-d
diskalifikasyon	d-i-s-k-a-l-i-f-i-k-a-s-y-on
fil	f-i-l
Tamara	T-a-m-a-r-a
Amori	A-m-o-r-i
Franklen	F-r-an-k-l-en
tenbal	t-en-b-a-l
santral	s-an-t-r-a-l
oniks	o-n-i-k-s
sandal	s-an-d-a-l
chabon	ch-a-b-on
reyisi	r-e-y-i-s-i
zareyen	z-a-r-e-y-en
disoud	d-i-s-ou-d
piyanp	p-i-y-an-p
reyabilitasyon	r-e-y-a-b-i-l-i-t-a-s-y-on
konbatan	k-on-b-a-t-an
pano	p-a-n-o
Dantò	D-an-t-ò
konik	k-o-n-i-k
angran	an-g-r-an
Jafè	J-a-f-è
prèskè	p-r-è-s-k-è
anana	a-n-a-n-a
konbit	k-on-b-i-t
basil	b-a-s-i-l
akochay	a-k-o-ch-a-y
dapre	d-a-p-r-e
apran	a-p-r-an
ajitatè	a-j-i-t-a-t-è
espwopriyasyon	e-s-p-w-o-p-r-i-y-a-s-y-on
naj	n-a-j
katolisis	k-a-t-o-l-i-s-i-s
Katrin	K-a-t-r-i-n
koze	k-o-z-e
platon	p-l-a-t-on
